,Room Type,quarter,Range,Lead_time_min,Lead_time_max,Count,Weighted_count,Weighted_lead_time,mean_price,total_price,Weighted_price,total_revenue_calc,revenue_per_room_calc,%revenue
0,Room_Type 1,1,90.00-182.00,90,182.0,136,0.019373219373219373,0.07377381434941224,100.96639573372563,13731.429819786686,0.018778561062964924,0.0,0.0,0.0
1,Room_Type 1,2,90.00-443.00,90,443.0,1620,0.23076923076923078,0.1795703283340089,100.63766902451061,163033.0238197072,0.22295752396204185,0.0,0.0,0.0
2,Room_Type 1,3,90.00-433.00,90,433.0,2423,0.34515669515669517,0.1755168220510742,100.76876176324913,244162.70975235265,0.33390727801533215,0.0,0.0,0.0
3,Room_Type 1,4,90.00-386.00,90,386.0,1879,0.26766381766381764,0.15646534252128091,100.94652668562824,189678.52364229548,0.2593968570860172,0.0,0.0,0.0
4,Room_Type 4,1,90.00-123.00,90,123.0,5,0.0007122507122507123,0.04985812728009728,134.39163498098858,671.9581749049429,0.0009189434592622021,0.0,0.0,0.0
5,Room_Type 4,2,90.00-238.00,90,238.0,148,0.021082621082621083,0.09647344953384678,129.38465063001144,19148.928293241694,0.026187317997053414,0.0,0.0,0.0
6,Room_Type 4,3,90.00-307.00,90,307.0,500,0.07122507122507123,0.12444264288609648,128.6935515021459,64346.77575107296,0.08799810897370958,0.0,0.0,0.0
7,Room_Type 4,4,90.00-355.00,90,355.0,284,0.040455840455840456,0.1438994730441832,128.36522848034005,36455.724888416575,0.049855409443618715,0.0,0.0,0.0
8,Room_Type 1,1,-1.00-16.00,-1,16.0,221,0.019849110831686726,0.0031687246873359936,106.06537815126049,23440.44857142857,0.019581621683767224,10878.0,49.0,46.2
9,Room_Type 1,1,16.00-48.91,16,48.91,305,0.02739356924735046,0.009686395278600215,107.5588475177305,32805.4484929078,0.027404931249371666,14071.0,46.0,42.77
10,Room_Type 1,1,48.91-72.25,48,72.25,131,0.011765762529189868,0.014308772416251597,99.90176312247644,13087.130969044414,0.010932693833944131,3908.0,30.0,30.03
11,Room_Type 1,1,72.25-182.00,72,182.0,219,0.019669480869409017,0.036044243318446925,100.46070779830882,22000.89500782963,0.018379051127576054,5516.0,25.0,24.89
12,Room_Type 1,2,-1.00-69.00,-1,69.0,662,0.059457517513921324,0.013665125214136473,105.26424585523655,69684.93075616659,0.058213218359225605,31187.0,47.0,44.65
13,Room_Type 1,2,69.00-142.52,69,142.52,660,0.059277887551643614,0.028225415152445366,97.20961556943777,64158.34627582893,0.05359643441980649,24648.0,37.0,38.06
14,Room_Type 1,2,142.52-211.00,142,211.0,524,0.04706305011675947,0.04178755681424341,105.82614119922631,55452.89798839459,0.04632409940314986,19186.0,37.0,34.96
15,Room_Type 1,2,211.00-443.00,211,443.0,604,0.05424824860786779,0.08773406478061532,99.08934200459066,59849.96257077276,0.049997307913168317,15757.0,26.0,26.24
16,Room_Type 1,3,-1.00-94.00,-1,94.0,804,0.07221124483563858,0.018616257538098962,103.75082401788566,83415.66251038008,0.06968356176297864,36575.0,45.0,43.37
17,Room_Type 1,3,94.00-168.96,94,168.96,809,0.07266031974133286,0.03346173269826809,99.95117344553529,80860.49931743805,0.06754903610183306,31789.0,39.0,39.02
18,Room_Type 1,3,168.96-245.00,168,245.0,828,0.07436680438297108,0.0485210967748324,103.50540554962647,85702.47579509072,0.07159391396746667,31866.0,38.0,36.71
19,Room_Type 1,3,245.00-433.00,245,433.0,755,0.06781031075983474,0.08575361185103032,98.5526160541586,74407.22512088975,0.06215811648895279,21677.0,29.0,29.43
20,Room_Type 1,4,-1.00-85.00,-1,85.0,639,0.05739177294772768,0.016833849901472464,104.08578492392806,66510.81656639003,0.055561635005098094,28756.0,45.0,43.23
21,Room_Type 1,4,85.00-173.36,85,173.36,650,0.058379737740255074,0.03433313198728549,100.41696400000001,65271.026600000005,0.05452594244933484,24429.0,38.0,37.84
22,Room_Type 1,4,173.36-268.00,173,268.0,630,0.05658343811747799,0.053076138512877895,103.2157464028777,65025.92023381295,0.054321186123092516,21758.0,35.0,33.91
23,Room_Type 1,4,268.00-386.00,268,386.0,625,0.05613436321178372,0.07644548308198085,98.24202693125443,61401.266832034016,0.051293232479964375,17319.0,28.0,28.5
24,Room_Type 4,1,-1.00-12.00,-1,12.0,50,0.004490749056942698,0.0023765435155019953,133.94233695652173,6697.116847826086,0.005594620260209542,3025.0,60.0,44.8
25,Room_Type 4,1,12.00-35.40,12,35.4,40,0.0035925992455541583,0.007010803370730886,143.1410472972973,5725.641891891892,0.004783072008289784,1789.0,45.0,31.44
26,Room_Type 4,1,35.40-48.50,35,48.5,47,0.004221304113526136,0.00960519670848723,134.96815642458103,6343.503351955308,0.005299219526844055,1768.0,38.0,28.15
27,Room_Type 4,1,48.50-123.00,48,123.0,46,0.004131489132387282,0.02435957103389545,133.7270618556701,6151.444845360824,0.0051387781852109205,946.0,21.0,15.7
28,Room_Type 4,2,-1.00-23.75,-1,23.75,153,0.013741692114244655,0.004703575707764365,138.80313915857604,21236.880291262136,0.017740810477228995,10470.0,68.0,48.99
29,Room_Type 4,2,23.75-61.93,23,61.93,198,0.017783366265493084,0.01226494499291988,136.41476470588236,27010.123411764707,0.022563647477536596,11651.0,59.0,43.25
30,Room_Type 4,2,61.93-86.25,61,86.25,108,0.009700017962996228,0.01708140651767059,132.78127035830616,14340.377198697066,0.011979627448328043,4459.0,41.0,30.88
31,Room_Type 4,2,86.25-238.00,86,238.0,153,0.013741692114244655,0.0471347797241229,129.4640949227373,19808.006523178807,0.016547161581167726,4261.0,28.0,21.63
32,Room_Type 4,3,-1.00-64.00,-1,64.0,208,0.018681516076881625,0.012674898749343974,137.19666279069767,28536.905860465115,0.023839087075578597,12396.0,60.0,43.73
33,Room_Type 4,3,64.00-113.57,64,113.57,195,0.017513921322076523,0.0224920039212968,133.53233333333336,26038.805000000004,0.021752229999082818,9227.0,47.0,35.2
34,Room_Type 4,3,113.57-160.00,113,160.0,207,0.01859170109574277,0.031687246873359935,131.89130081300812,27301.49926829268,0.022807056291703612,8572.0,41.0,31.09
35,Room_Type 4,3,160.00-307.00,160,307.0,203,0.018232441171187354,0.060799904938259375,123.11478481012658,24992.301316455694,0.020878004441521967,5260.0,26.0,21.12
36,Room_Type 4,4,-1.00-63.00,-1,63.0,117,0.010508352793245914,0.012476853456385474,137.19836320191158,16052.208494623654,0.013409652676775474,5948.0,51.0,37.17
37,Room_Type 4,4,63.00-130.95,63,130.95,139,0.0124842823783007,0.02593403111291552,133.6202380952381,18573.213095238098,0.015515643020852758,5375.0,39.0,29.19
38,Room_Type 4,4,130.95-189.00,130,189.0,97,0.008712053170468834,0.03743056036915642,128.664837962963,12480.48928240741,0.0104259190608791,2315.0,24.0,18.65
39,Room_Type 4,4,189.00-355.00,189,355.0,107,0.009610202981857373,0.07030607900026736,118.69376744186046,12700.233116279069,0.010609488100059529,1500.0,14.0,11.8
